a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Brook Lopez,,,,,,,Elton Brand,,,,,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,11:41,PHI,shot,,,,,,,,,,Elton Brand,,,,missed,,turnaround jump,41,14
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,11:39,NJN,rebound,,,,,,,,,,Terrence Williams,,,,,,def,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,11:20,NJN,turnover,,,,,,,,,,Brook Lopez,,,lost ball,,Lou Williams,,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,11:15,PHI,shot,Lou Williams,,,,,,,,,Andre Iguodala,2,,,made,,layup,25,6
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,10:52,NJN,shot,,,,,,,,,,Terrence Williams,2,,,made,,driving finger roll layup,25,6
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,10:26,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,22,25
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,10:25,PHI,rebound,,,,,,,,,,Elton Brand,,,,,,off,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,10:22,PHI,shot,,,,,,,,,,Elton Brand,,,,missed,,hook,25,14
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,10:21,NJN,rebound,,,,,,,,,,Brook Lopez,,,,,,def,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,10:07,NJN,shot,,,,,,,,,,Josh Boone,,,,missed,,jump,18,20
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,10:05,PHI,rebound,,,,,,,,,,Thaddeus Young,,,,,,def,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:48,PHI,shot,,,,,,,,,,Andre Iguodala,,,,missed,,jump,37,20
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:45,PHI,rebound,,,,,,,,,,Lou Williams,,,,,,off,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:41,PHI,shot,,,Josh Boone,,,,,,,Lou Williams,,,,missed,,layup,25,6
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:39,NJN,rebound,,,,,,,,,,Brook Lopez,,,,,,def,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:25,NJN,shot,,,,,,,,,,Rafer Alston,,,,missed,,3pt,34,30
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:23,PHI,rebound,,,,,,,,,,Elton Brand,,,,,,def,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:20,NJN,foul,,,,,,,,Elton Brand,,Josh Boone,,,,,,shooting,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:20,PHI,free throw,,,,,,,1,,2,Elton Brand,,,foul,made,,,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:20,PHI,free throw,,,,,,,2,,2,Elton Brand,,,foul,made,,,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:06,PHI,foul,,,,,,,,Brook Lopez,,Thaddeus Young,,,,,,shooting,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:06,NJN,free throw,,,,,,,1,,2,Brook Lopez,,,foul,made,,,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,9:06,NJN,free throw,,,,,,,2,,2,Brook Lopez,,,foul,made,,,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,8:57,PHI,shot,Lou Williams,,,,,,,,,Thaddeus Young,3,,,made,,3pt,39,26
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,8:47,NJN,shot,,,Samuel Dalembert,,,,,,,Brook Lopez,,,,missed,,layup,25,6
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,8:45,PHI,rebound,,,,,,,,,,Andre Iguodala,,,,,,def,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,8:42,PHI,shot,Lou Williams,,,,,,,,,Thaddeus Young,2,,,made,,jump,15,7
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,8:24,NJN,shot,Rafer Alston,,,,,,,,,Trenton Hassell,2,,,made,,jump,12,18
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,8:06,PHI,shot,,,,,,,,,,Thaddeus Young,2,,,made,,jump bank,32,9
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,7:48,NJN,shot,,,,,,,,,,Terrence Williams,,,,missed,,3pt,5,20
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,7:47,PHI,rebound,,,,,,,,,,Lou Williams,,,,,,def,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,7:42,PHI,shot,,,,,,,,,,Lou Williams,2,,,made,,running bank,19,9
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,7:42,NJN,timeout,,,,,,,,,,,,,,,,regular,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,7:21,NJN,shot,,,Samuel Dalembert,,,,,,,Brook Lopez,,,,missed,,driving layup,25,6
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,7:19,PHI,rebound,,,,,,,,,,Elton Brand,,,,,,def,,
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Brook Lopez,Josh Boone,Rafer Alston,Terrence Williams,Trenton Hassell,1,7:01,PHI,shot,,,,,,,,,,Andre Iguodala,2,,,made,,driving slam dunk,25,6
Andre Iguodala,Elton Brand,Lou Williams,Samuel Dalembert,Thaddeus Young,Bobby Simmons,Brook Lopez,Josh Boone,Rafer Alston,Trenton Hassell,1,6:38,NJN,sub,,,,Bobby Simmons,,Terrence Williams,,,,,,,,,,,,
